"Rqrmnt","Eff Date","Line","Dtl Seq","Key","Dtl Type","Incl Mode","Recall","Interp","Rq Group","Rqrmnt","Line","Ref Nbr","Ref Data","Crse Lst","Institution","Career","Cond Code","Operator","Value","Ignore msng tgt","Test ID","Component","Score","Max Age","Select Method","Crse Attr","CrsAtr Val","Condition"
"000001373","01/01/1901","0040","1","0004","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","WRIT EXEMPT","R","9999.00","999","HS","","",""
"000001374","01/01/1901","0040","1","0004","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","MATH EXEMPT","Q","9999.00","999","HS","","",""
"000003102","01/01/2015","0010","1","0001","CLST","","","A","","","","0","","000001629","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003103","03/20/2015","0010","1","0001","CLST","","","A","","","","0","","000001630","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003104","03/20/2015","0010","1","0001","CLST","","","A","","","","0","","000001631","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003105","03/20/2015","0010","1","0001","CLST","","","A","","","","0","","000001632","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003106","03/20/2015","0010","1","0001","CLST","","","A","","","","0","","000001633","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003107","03/20/2015","0010","1","0001","CLST","","","A","","","","0","","000001634","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003108","03/20/2015","0010","1","0001","CLST","","","A","","","","0","","000001635","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003351","01/01/1901","0010","1","0001","CLST","","VAL","A","","","","0","","000001855","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003392","06/30/2014","0010","1","0001","CLST","","","A","","","","0","","000001870","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003393","06/30/2014","0010","1","0001","CLST","","","A","","","","0","","000001864","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003394","06/30/2014","0010","1","0001","CLST","","","","","","","0","","000001865","QNS01","","","","","N","","","0.00","0","","","",""
"000003395","06/30/2015","0010","1","0001","CLST","","","A","","","","0","","000001866","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003396","06/30/2014","0010","1","0001","CLST","","","A","","","","0","","000001867","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003397","06/30/2014","0010","1","0001","CLST","","","A","","","","0","","000001868","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003398","06/30/2014","0010","1","0001","CLST","","","A","","","","0","","000001869","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003472","06/01/2016","0010","1","0001","CLST","","","A","","","","0","","000001928","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003487","05/02/2016","0010","1","0001","CLST","","","A","","","","0","","000001941","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003542","10/31/2016","0010","1","0001","CLST","","","A","","","","0","","000001987","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003542","10/31/2016","0010","2","0001","CLST","Y","","A","","","","0","","000002028","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003543","10/31/2016","0010","1","0001","CLST","","","A","","","","0","","000001988","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003544","10/31/2016","0010","1","0001","CLST","","","A","","","","0","","000001989","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003545","10/31/2016","0010","1","0001","CLST","","","A","","","","0","","000001990","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003546","10/31/2016","0010","1","0001","CLST","","","A","","","","0","","000001991","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003547","10/31/2016","0010","1","0001","CLST","","","A","","","","0","","000001992","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003548","10/31/2016","0010","1","0001","CLST","","","A","","","","0","","000001993","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003595","03/28/2017","0010","1","0001","CLST","","","A","","","","0","","000002023","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
